title,ingredients,method,Main ingredients,Cuisine,Course,Prep time,Cook time,Serve,Taste,Level of cooking,Veg/Non Veg
Japanese Brown Fried Rice,"['1 1/2  cups quick cooking brown Basmati rice', 'Salt to taste', '1 1/2  tablespoons sesame oil', '2 tablespoons pine nuts', '2-3 fresh red chillies, diagonally sliced', '2-3 spring onion bulbs, chopped', '2 medium carrots, peeled, cut into  1/2  cm cubes and blanched', ' 1/2  cup boiled edamame beans', 'Crushed black peppercorns to taste', '1 1/2  teaspoons light soy sauce', '2-3 tablespoons chopped spring onion greens + for garnish', 'Toasted white sesame seeds to sprinkle']","['Take quick cooking brown Basmati rice in a bowl, add sufficient water and wash for 2-3 times. Add sufficient water and soak for 25-30 minutes. Drain.', 'Boil 5-6 cups water in a deep non-stick pan, add drained rice and salt, mix and cook for 10-12 minutes. Drain and set aside.', 'Heat sesame oil in a non-stick wok, add pine nuts and fresh red chillies and mix well.', 'Add spring onion bulbs, carrots and edamame beans and mix well.', 'Add salt and crushed black peppercorns and mix.', 'Add the cooked rice, light soy sauce and spring onion greens and toss well.', 'Cook on medium heat for 2-3 minutes or till the rice is heated thoroughly.', 'Transfer into a serving bowl, garnish with spring onion greens, sprinkle white sesame seeds and serve hot.']","Quick cooking brown Basmati rice, Sesame oil, Pine nuts, Fresh red chillies, Spring onions with greens, Carrots, Edamame beans, Crushed black peppercorns, Light soy sauce, Toasted white sesame seeds",Japanese,Rice,25-30 minutes,25-30 minutes,4,Savoury,Easy,Vegetarian
Tamarind Cooler,[],"['Heat 3 cups water in a non-stick pan. Add sugar, tamarind paste and ginger, stir and boil for a minute. Remove from heat and cool down to room temperature.', 'Slice lemon and remove seeds. Coarsely crush cumin seeds.', 'Place lots of ice cubes into 4 individual tall glasses. Add 2-3 lemon slices and  1/4  tablespoon lemon juice in each glass.', 'Divide crushed cumin seeds and the tamarind mixture equally into each and top with drinking soda.', 'Serve chilled.']",,Indian,Beverages,,0-5 minutes,4,Sweet & Sour,,Veg
Chaat,[],"['To make the sweet chutney, put tamarind pulp, dates and jaggery into a blender jar. Add a little water that was used to soak dates and jaggery and blend it all together into a smooth puree. Transfer into a bowl, add salt, chilli powder and cumin powder and mix well.', 'To make bhel, put the puffed rice into a large bowl, add sev, onion, potato, salt and red chilli powder mix and toss well.', 'Add the green chutney, garlic chutney and 2-3 tbsps sweet chutney and mix well. Add chana dal and sprouts and mix well.', 'Transfer into a serving bowl, garnish it with sev and coriander leaves and serve immediately with crisp puris.', 'To make dahi batata puri, make a hole in each puri and arrange them on a serving platter. Fill each puri with some potatoes, and sprouts. Drizzle yogurt, green chutney and sweet chutney.', 'Sprinkle salt and red chilli powder. Top with sev and garnish with coriander leaves and serve immediately.']",,Mumbai,Snacks and Starters,,0-5 minutes,4,Tangy,,Veg
Egg Macho,[],"['Preheat oven to 180degC. Heat olive oil in a non stick pan, add onions and saute till translucent. Break eggs into a bowl, add red chilli powder, turmeric powder, salt and coriander leaves and whisk well.', 'Add capsicum, tomato, tomato basil sauce and salt to the pan and mix well.', 'Transfer the mixture into a baking dish and pour the egg mixture over it. Sprinkle cheese and chaat masala on top. Keep the baking dish in the preheated oven and bake for 10 minutes. Serve hot.']",,Fusion,Main Course Egg,,16-20 minutes,4,Mild,,Non Veg
Ginger Raisin Whole Wheat Cookies,[],"['Preheat oven at 180deg C. Line a baking tray with a silicon mat.', 'Combine whole wheat flour, refined flour, wheat bran, butter, castor sugar and ginger powder in a bowl and mix till it resembles breadcrumbs.', 'Add raisins and mix. Add some milk and knead into a stiff dough.', 'Divide the dough into equal portions and shape them into lemon size balls. Place the balls on the lined baking tray and lightly press the balls to flatten.', 'Place the baking tray in preheated oven and bake for 16-18 minutes. Remove from oven and cool.', 'Serve.']",,Fusion,Snacks and Starters,,21-25 minutes,4,Sweet,,Veg
APRICOT JAM NANKHATAI,[],"['Preheat an oven at 180oC.', 'Take refined flour in a large shallow bowl. Add gram flour, baking soda, baking powder, green cardamom powder and powdered sugar and mix well. Make a well in the centre, add the melted ghee and rub well with your fingers till the mixture comes together.', 'To make the nankhatai, divide the mixture into equal portions. Shape each portion into a ball. Slightly flatten them and using your thumb, make a cavity in the centre. Place them at equidistance on a lined baking tray.', 'Place the baking tray in the preheated oven and bake for 6-8 minutes. Take the baking tray out of the oven and pipe out apricot jam in the prepared cavity of the nankhatais. Place the baking tray back in the oven and continue to bake for 2-3 minutes.', 'Bring the baking tray out of the oven and sprinkle pistachios powder. Allow the nankhatais to cool completely.', 'Arrange the nankhatais on a serving plate and serve as required.']",,Fusion,Mithais,,11-15 minutes,4,Sweet,,Veg
Nilgiri Mutton Curry,[],"['Boil 2-3 cups water in a deep non-stick pan, add mutton, half the cardamoms, cloves, peppercorns, bay leaves and  1/2  inch cinnamon. Mix well. Add salt and mix again. Cover and cook on low heat till the mutton is half done.', 'Grind together coconut, green chillies, coriander leaves reserving some for garnishing, mint leaves ginger, garlic, remaining cardamoms, cloves, peppercorns, cinnamon with little water to a smooth paste.', 'Strain the half cooked mutton in a bowl. Discard bay leaves and cinnamon.', 'Heat oil in a non-stick pan, add curry leaves, turmeric powder and onion and saute till brown. Add ground paste and saute for a minute.', 'Add half cooked mutton and mix well. Add salt, cumin powder, coriander powder, fennel powder and mix well. Add stock and mix well. Cover and cook on low for 5-8 minutes.', 'Add yogurt and mix well. Cook for 5 minutes.', 'Serve hot garnished with coriander leaves and serve hot.']",,Indian,Main Course Mutton,,31-40 minutes,4,Spicy,,Non Veg
"Cherry, Fresh Prunes And Almond Bread Pudding",[],"['Take bread cubes in a bowl. Pour brandy, two tablespoons of cherry juice over them and set aside. In another bowl mix egg, cream and sugar.', 'Add canned cherries and two tablespoons of cherry juice and mix. Add prunes and mix. Add brandy-soaked bread, sliced almonds, cinnamon powder and mix well.', 'Transfer the mixture into a Microwave glass bowl and cook on Microwave HIGH (100%) for five minutes. Allow standing time of two minutes. Turn out onto a serving dish.', 'For sauce, wash and dry fresh cherries. Take cherry jam, remaining cherry juice, fresh cherries in a pan and cook for five minutes.', 'Pour the sauce over the pudding and serve warm.']",,British,Desserts,,16-20 minutes,4,Sweet,,Non Veg
Cheesy Chicken Sandwiches - SK Khazana,[],"['Heat butter in a non-stick pan, add green chilli and onion and saute for 2 minutes. Add refined flour and saute for 1 minute. Add milk and mix well to avoid lumps.', 'Add  1/2  cup cheese, shredded chicken, salt, crushed black peppercorns and mix well. Let the mixture cool slightly.', 'Preheat a sandwich griller.', 'Apply butter on bread slices and top it with a portion of the chicken mixture. Sprinkle some of the remaining mozzarella cheese on each slice and cover with another buttered bread slice.', 'Apply some butter on both sides of the sandwiches, place them on the griller and grill the sandwiches for 5 minutes or till grill marks appear on both sides.', 'Cut each sandwich in half, arrange them on a serving platter and serve hot with tomato ketchup.']",,Fusion,Snacks and Starters,,16-20 minutes,4,Mild,,Non Veg
Sakhreche Talele Modak,[],"['To make the stuffing, heat ghee in a non-stick pan, add poppy seeds and coconut, mix well and saute for 1 minute or till the coconut gets heated through. Add sugar, mix well and saute on medium heat for 1-2 minutes or till sugar mixes well with the coconut.', 'Add charoli, cashewnuts and raisins and mix well. Add green cardamom powder and nutmeg powder and mix well. Switch off the heat, transfer into a bowl and set aside to cool.', 'To make the dough, take refined flour in a mixing bowl, add semolina, salt and warm ghee. Add milk, little by little and knead into stiff dough. Cover with a moist muslin cloth and set aside for 30 minutes.', 'Divide the dough into large balls. Dust the worktop with some dry flour, place a dough ball on it and roll out into a thin and large disc. Cut into equal sized discs with a cookie cutter. Place a teaspoonful of stuffing in centre of each disc, pinch the edges into small pleats, bring them together and press to seal and shape into modaks.', 'Use up the remaining dough and stuffing to make more modaks.', 'Heat sufficient oil in a kadai, slide in the modaks, a few at a time, and deep-fry on medium heat for 5-6 minutes till they turn golden brown. Drain on absorbent paper.', 'Arrange them on a serving plate and serve warm. Or cool them and store in an airtight container.']",,Maharashtrian,Mithais,,21-25 minutes,4,Sweet,,Veg
